type,timestamp,x,y,yaw
actual,1745086394.789691,394670.15280310845,4438781.406019973,-0.16043441730121064
actual,1745086394.889713,394670.36125385464,4438781.370648499,-0.1655139886496299
actual,1745086394.9897406,394670.57619123545,4438781.329923849,-0.1693899634925813
actual,1745086395.0895853,394670.78612075845,4438781.291886929,-0.17252263751369323
actual,1745086395.1897678,394670.99561784125,4438781.2530452795,-0.1742843205007788
actual,1745086395.2896526,394671.20491219603,4438781.213405194,-0.1751924502171767
actual,1745086395.3896914,394671.414445194,4438781.173270879,-0.1754824715789805
actual,1745086395.4897702,394671.62078452867,4438781.13890907,-0.17531483270432632
actual,1745086395.5896873,394671.83060600964,4438781.100507729,-0.1758364068979925
actual,1745086395.6897454,394672.0408333342,4438781.061888811,-0.17618262786171052
actual,1745086395.7896788,394672.25175799354,4438781.023156035,-0.1766237772834447
actual,1745086395.8897345,394672.46238947654,4438780.984559657,-0.17782206798798622
actual,1745086395.9896722,394672.6785344451,4438780.938214975,-0.17880049956665428
actual,1745086396.0896852,394672.89017027454,4438780.897507677,-0.17999320521758966
actual,1745086396.1896906,394673.10120161826,4438780.855681982,-0.18099202224192112
actual,1745086396.289752,394673.31196983,4438780.8141063135,-0.1819603483642201
actual,1745086396.3896782,394673.5196024111,4438780.773222657,-0.18316303729847672
actual,1745086396.4897196,394673.72676532465,4438780.729766065,-0.18422044502579754
actual,1745086396.5896902,394673.9283555946,4438780.689392442,-0.1855143448667635
actual,1745086396.6897032,394674.1238230191,4438780.650213689,-0.1865260773275596
actual,1745086396.7896743,394674.3110360174,4438780.6120184725,-0.18765565441945023
actual,1745086396.889614,394674.48586316087,4438780.576306073,-0.18835593287522806
actual,1745086396.9897504,394674.64927734813,4438780.552006048,-0.1886588696734968
actual,1745086397.0897264,394674.79657766945,4438780.523420989,-0.18958736738226512
actual,1745086397.1897783,394674.92787230376,4438780.497636712,-0.19002253032466496
actual,1745086397.289683,394675.0390236906,4438780.47611824,-0.19041015049824042
actual,1745086397.3896947,394675.1308718027,4438780.45912181,-0.19118580972441157
actual,1745086397.489675,394675.2098794437,4438780.432161975,-0.1910828702051289
actual,1745086397.589668,394675.26593304524,4438780.421416386,-0.19149406977689884
actual,1745086397.689753,394675.3063559694,4438780.414003833,-0.19194001885407602
actual,1745086397.7897499,394675.3319055721,4438780.409469383,-0.1919567914681875
actual,1745086397.8897314,394675.3439983184,4438780.407901054,-0.1920659792661924
actual,1745086397.9897542,394675.33734893246,4438780.407431282,-0.19183015037766282
actual,1745086398.0897639,394675.3355594794,4438780.408273315,-0.19171244537290838
actual,1745086398.189753,394675.3356156998,4438780.4095368115,-0.19202375975158661
actual,1745086398.2896807,394675.3356491381,4438780.410310794,-0.1920721053718668
actual,1745086398.389694,394675.3359034536,4438780.41068891,-0.19217436421274117
actual,1745086398.4896758,394675.33121362363,4438780.405891011,-0.1917818222106751
actual,1745086398.5896688,394675.3307223202,4438780.405623556,-0.19183109285545902
actual,1745086398.6896684,394675.3298573128,4438780.405240065,-0.19181404098866692
actual,1745086398.7897449,394675.3290694891,4438780.404703402,-0.1917567941892017
actual,1745086398.889709,394675.3282714977,4438780.404121334,-0.19174560662869639
actual,1745086398.9896975,394675.33682503935,4438780.40528015,-0.19176997142505423
actual,1745086399.089706,394675.33755174954,4438780.405134194,-0.19183029000400315
